,date_place,combined_text
0,"2014-01-01, Austin","dry, warm, cold ||"
1,"2014-01-02, Austin","downpour, warm, freezing ||"
2,"2014-01-03, Austin","dry, warm, freezing ||"
3,"2014-01-04, Austin","dry, warm, freezing ||"
4,"2014-01-05, Austin","dry, hot, cold ||"
5,"2014-01-06, Austin","dry, cold, freezing ||"
6,"2014-01-07, Austin","dry, cold, freezing ||"
7,"2014-01-08, Austin","drizzle, cold, freezing ||"
8,"2014-01-09, Austin","torrential, warm, cold ||"
9,"2014-01-10, Austin","torrential, warm, warm ||"
10,"2014-01-11, Austin","downpour, warm, warm ||"
11,"2014-01-12, Austin","dry, warm, cold ||"
12,"2014-01-13, Austin","rain, hot, warm ||"
13,"2014-01-14, Austin","dry, warm, cold ||"
14,"2014-01-15, Austin","dry, hot, cold ||"
15,"2014-01-16, Austin","dry, warm, cold ||"
16,"2014-01-17, Austin","dry, warm, cold ||"
17,"2014-01-18, Austin","dry, warm, freezing ||"
18,"2014-01-19, Austin","dry, nan, nan"
19,"2014-01-20, Austin","dry, warm, warm ||"
20,"2014-01-21, Austin","dry, hot, cold ||"
21,"2014-01-22, Austin","dry, warm, cold ||"
22,"2014-01-23, Austin","dry, warm, cold ||"
23,"2014-01-24, Austin","downpour, warm, freezing ||"
24,"2014-01-25, Austin","dry, cold, freezing ||"
25,"2014-01-26, Austin","dry, warm, freezing ||"
26,"2014-01-27, Austin","rain, warm, cold ||"
27,"2014-01-28, Austin","rain, warm, freezing ||"
28,"2014-01-29, Austin","downpour, cold, freezing ||"
29,"2014-01-30, Austin","dry, cold, freezing ||"
30,"2014-01-31, Austin","dry, warm, cold ||"
31,"2014-02-01, Austin","downpour, hot, warm ||"
32,"2014-02-02, Austin","dry, nan, nan"
33,"2014-02-03, Austin","downpour, warm, cold ||"
34,"2014-02-04, Austin","downpour, cold, cold ||"
35,"2014-02-05, Austin","downpour, warm, cold ||"
36,"2014-02-06, Austin","dry, cold, freezing ||"
37,"2014-02-07, Austin","dry, cold, freezing ||"
38,"2014-02-08, Austin","rain, cold, freezing ||"
39,"2014-02-09, Austin","dry, warm, cold ||"
40,"2014-02-10, Austin","downpour, warm, cold ||"
41,"2014-02-11, Austin","downpour, warm, cold ||"
42,"2014-02-12, Austin","rain, cold, cold ||"
43,"2014-02-13, Austin","drizzle, cold, freezing ||"
44,"2014-02-14, Austin","drizzle, warm, cold ||"
45,"2014-02-15, Austin","dry, hot, cold ||"
46,"2014-02-16, Austin","dry, warm, warm ||"
47,"2014-02-17, Austin","dry, hot, warm ||"
48,"2014-02-18, Austin","dry, hot, warm ||"
49,"2014-02-19, Austin","dry, hot, warm ||"
50,"2014-02-20, Austin","dry, hot, warm ||"
51,"2014-02-21, Austin","drizzle, hot, cold ||"
52,"2014-02-22, Austin","dry, hot, cold ||"
53,"2014-02-23, Austin","dry, hot, cold ||"
54,"2014-02-24, Austin","drizzle, hot, warm ||"
55,"2014-02-25, Austin","drizzle, warm, warm ||"
56,"2014-02-26, Austin","torrential, hot, cold ||"
57,"2014-02-27, Austin","downpour, cold, freezing ||"
58,"2014-02-28, Austin","dry, warm, cold ||"
59,"2014-03-01, Austin","dry, hot, cold ||"
60,"2014-03-02, Austin","dry, hot, warm ||"
61,"2014-03-03, Austin","downpour, hot, freezing ||"
62,"2014-03-04, Austin","torrential, cold, freezing ||"
63,"2014-03-05, Austin","torrential, cold, freezing ||"
64,"2014-03-06, Austin","drizzle, warm, cold ||"
65,"2014-03-07, Austin","dry, warm, cold ||"
66,"2014-03-08, Austin","dry, warm, cold ||"
67,"2014-03-09, Austin","torrential, warm, cold ||"
68,"2014-03-10, Austin","dry, warm, cold ||"
69,"2014-03-11, Austin","drizzle, hot, cold ||"
70,"2014-03-12, Austin","dry, hot, warm ||"
71,"2014-03-13, Austin","dry, warm, cold ||"
72,"2014-03-14, Austin","dry, warm, cold ||"
73,"2014-03-15, Austin","drizzle, hot, warm ||"
74,"2014-03-16, Austin","torrential, warm, warm ||"
75,"2014-03-17, Austin","torrential, warm, cold ||"
76,"2014-03-18, Austin","dry, warm, cold ||"
77,"2014-03-19, Austin","dry, hot, cold ||"
78,"2014-03-20, Austin","dry, warm, cold ||"
79,"2014-03-21, Austin","dry, hot, cold ||"
80,"2014-03-22, Austin","dry, hot, warm ||"
81,"2014-03-23, Austin","dry, hot, warm ||"
82,"2014-03-24, Austin","downpour, hot, warm ||"
83,"2014-03-25, Austin","rain, warm, cold ||"
84,"2014-03-26, Austin","dry, warm, cold ||"
85,"2014-03-27, Austin","torrential, warm, warm ||"
86,"2014-03-28, Austin","downpour, hot, warm ||"
87,"2014-03-29, Austin","rain, hot, warm ||"
88,"2014-03-30, Austin","dry, hot, warm ||"
89,"2014-03-31, Austin","dry, hot, cold ||"
90,"2014-04-01, Austin","dry, hot, warm ||"
91,"2014-04-02, Austin","dry, hot, warm ||"
92,"2014-04-03, Austin","dry, hot, hot ||"
93,"2014-04-04, Austin","dry, hot, warm ||"
94,"2014-04-05, Austin","dry, warm, warm ||"
95,"2014-04-06, Austin","drizzle, warm, warm ||"
96,"2014-04-07, Austin","torrential, warm, warm ||"
97,"2014-04-08, Austin","downpour, hot, cold ||"
98,"2014-04-09, Austin","dry, hot, cold ||"
99,"2014-04-10, Austin","dry, hot, cold ||"
100,"2014-04-11, Austin","dry, hot, warm ||"
101,"2014-04-12, Austin","dry, hot, warm ||"
102,"2014-04-13, Austin","dry, hot, warm ||"
103,"2014-04-14, Austin","drizzle, hot, warm ||"
104,"2014-04-15, Austin","torrential, hot, cold ||"
105,"2014-04-16, Austin","dry, warm, cold ||"
106,"2014-04-17, Austin","dry, warm, cold ||"
107,"2014-04-18, Austin","dry, hot, warm ||"
108,"2014-04-19, Austin","dry, hot, cold ||"
109,"2014-04-20, Austin","dry, hot, warm ||"
110,"2014-04-21, Austin","dry, hot, warm ||"
111,"2014-04-22, Austin","dry, hot, warm ||"
112,"2014-04-23, Austin","dry, hot, warm ||"
113,"2014-04-24, Austin","dry, hot, warm ||"
114,"2014-04-25, Austin","dry, hot, warm ||"
115,"2014-04-26, Austin","dry, hot, warm ||"
116,"2014-04-27, Austin","dry, hot, warm ||"
117,"2014-04-28, Austin","dry, hot, warm ||"
118,"2014-04-29, Austin","dry, hot, warm ||"
119,"2014-04-30, Austin","dry, hot, warm ||"
120,"2014-05-01, Austin","dry, hot, cold ||"
121,"2014-05-02, Austin","dry, hot, warm ||"
122,"2014-05-03, Austin","dry, hot, warm ||"
123,"2014-05-04, Austin","dry, hot, warm ||"
124,"2014-05-05, Austin","dry, hot, warm ||"
125,"2014-05-06, Austin","dry, hot, warm ||"
126,"2014-05-07, Austin","dry, hot, warm ||"
127,"2014-05-08, Austin","downpour, hot, hot ||"
128,"2014-05-09, Austin","downpour, hot, hot ||"
129,"2014-05-10, Austin","torrential, hot, warm ||"
130,"2014-05-11, Austin","dry, hot, warm ||"
131,"2014-05-12, Austin","downpour, hot, warm ||"
132,"2014-05-13, Austin","torrential, hot, warm ||"
133,"2014-05-14, Austin","downpour, hot, warm ||"
134,"2014-05-15, Austin","dry, hot, warm ||"
135,"2014-05-16, Austin","dry, hot, warm ||"
136,"2014-05-17, Austin","dry, hot, warm ||"
137,"2014-05-18, Austin","dry, hot, warm ||"
138,"2014-05-19, Austin","dry, hot, warm ||"
139,"2014-05-20, Austin","dry, hot, warm ||"
140,"2014-05-21, Austin","dry, hot, warm ||"
141,"2014-05-22, Austin","dry, hot, warm ||"
142,"2014-05-23, Austin","dry, hot, warm ||"
143,"2014-05-24, Austin","dry, hot, warm ||"
144,"2014-05-25, Austin","dry, hot, warm ||"
145,"2014-05-26, Austin","dry, hot, warm ||"
146,"2014-05-27, Austin","torrential, hot, warm ||"
147,"2014-05-28, Austin","torrential, hot, warm ||"
148,"2014-05-29, Austin","dry, hot, warm ||"
149,"2014-05-30, Austin","dry, hot, warm ||"
150,"2014-05-31, Austin","dry, hot, hot ||"
151,"2014-06-01, Austin","torrential, hot, hot ||"
152,"2014-06-02, Austin","dry, hot, hot ||"
153,"2014-06-03, Austin","dry, hot, hot ||"
154,"2014-06-04, Austin","dry, hot, hot ||"
155,"2014-06-05, Austin","dry, hot, hot ||"
156,"2014-06-06, Austin","dry, hot, hot ||"
157,"2014-06-07, Austin","dry, hot, hot ||"
158,"2014-06-08, Austin","rain, scorching, hot ||"
159,"2014-06-09, Austin","rain, hot, hot ||"
160,"2014-06-10, Austin","torrential, hot, warm ||"
161,"2014-06-11, Austin","dry, hot, warm ||"
162,"2014-06-12, Austin","dry, scorching, hot ||"
163,"2014-06-13, Austin","downpour, scorching, hot ||"
164,"2014-06-14, Austin","dry, hot, hot ||"
165,"2014-06-15, Austin","dry, scorching, hot ||"
166,"2014-06-16, Austin","dry, scorching, hot ||"
167,"2014-06-17, Austin","dry, scorching, hot ||"
168,"2014-06-18, Austin","dry, scorching, hot ||"
169,"2014-06-19, Austin","rain, scorching, hot ||"
170,"2014-06-20, Austin","dry, scorching, hot ||"
171,"2014-06-21, Austin","downpour, hot, hot ||"
172,"2014-06-22, Austin","downpour, hot, hot ||"
173,"2014-06-23, Austin","drizzle, hot, hot ||"
174,"2014-06-24, Austin","torrential, hot, hot ||"
175,"2014-06-25, Austin","torrential, hot, hot ||"
176,"2014-06-26, Austin","rain, hot, hot ||"
177,"2014-06-27, Austin","rain, hot, hot ||"
178,"2014-06-28, Austin","drizzle, scorching, hot ||"
179,"2014-06-29, Austin","dry, scorching, hot ||"
180,"2014-06-30, Austin","rain, scorching, hot ||"
181,"2014-07-01, Austin","dry, scorching, hot ||"
182,"2014-07-02, Austin","dry, scorching, hot ||"
183,"2014-07-03, Austin","dry, scorching, hot ||"
184,"2014-07-04, Austin","rain, scorching, hot ||"
185,"2014-07-05, Austin","dry, hot, hot ||"
186,"2014-07-06, Austin","dry, hot, hot ||"
187,"2014-07-07, Austin","rain, scorching, hot ||"
188,"2014-07-08, Austin","dry, scorching, hot ||"
189,"2014-07-09, Austin","dry, scorching, hot ||"
190,"2014-07-10, Austin","dry, nan, hot ||"
191,"2014-07-11, Austin","dry, scorching, hot ||"
192,"2014-07-12, Austin","dry, scorching, hot ||"
193,"2014-07-13, Austin","dry, scorching, hot ||"
194,"2014-07-14, Austin","dry, scorching, hot ||"
